buildingID,zip,country,floorarea.SF,buildingtype.STR
cbe_10,94720,us,225577,education-college_university
# On-site building and weather information
time.LOCAL,wbelectricity.kWh,dboat.F
1/29/2012 12:45,59.44,59.381
1/29/2012 13:00,59.34,60.15
1/29/2012 13:15,59.43,60.759
1/29/2012 13:30,60.79,60.469
1/29/2012 13:45,59.65,60.525
1/29/2012 14:00,59.44,60.263
1/29/2012 14:15,59.4,60.684
1/29/2012 14:30,60.63,61.331
1/29/2012 14:45,60.17,61.725
1/29/2012 15:00,61.24,61.734
1/29/2012 15:15,61.14,61.838
1/29/2012 15:30,61.18,61.35
1/29/2012 15:45,62.97,60.478
1/29/2012 16:00,62.83,60.253
1/29/2012 16:15,61.49,60.272
1/29/2012 16:30,62.98,60.066
1/29/2012 16:45,64.74,59.213
1/29/2012 17:00,57.61,59.025
1/29/2012 17:15,55.75,58.725
1/29/2012 17:30,55.8,58.303
1/29/2012 17:45,59.1,58.388
1/29/2012 18:00,57.6,57.619
1/29/2012 18:15,57.68,57.244
1/29/2012 18:30,57.92,57.403
1/29/2012 18:45,57.56,57.394
1/29/2012 19:00,57.62,57.169
1/29/2012 19:15,57.63,57.028
1/29/2012 19:30,57.6,56.925
1/29/2012 19:45,55.79,56.822
1/29/2012 20:00,57.6,56.691
1/29/2012 20:15,59.4,56.541
1/29/2012 20:30,52.2,56.288
1/29/2012 20:45,54,56.222
1/29/2012 21:00,50.46,55.791
1/29/2012 21:15,50.35,55.584
1/29/2012 21:30,52.2,55.631
1/29/2012 21:45,50.7,55.5
1/29/2012 22:00,51.9,55.359
1/29/2012 22:15,52.2,55.341
1/29/2012 22:30,50.4,55.322
1/29/2012 22:45,50.4,55.266
1/29/2012 23:00,52.2,55.003
1/29/2012 23:15,50.4,54.834
1/29/2012 23:30,52.25,54.853
1/29/2012 23:45,52.15,54.759
1/30/2012 0:00,50.4,54.975
1/30/2012 0:15,50.4,54.938
1/30/2012 0:30,48.6,55.191
1/30/2012 0:45,48.6,55.331
1/30/2012 1:00,48.6,55.163
1/30/2012 1:15,46.8,54.956
1/30/2012 1:30,48.6,54.928
1/30/2012 1:45,46.8,55.106
1/30/2012 2:00,47.1,54.628
1/30/2012 2:15,46.5,54.516
1/30/2012 2:30,48.6,54.656
1/30/2012 2:45,45,54.684
1/30/2012 3:00,45,54.675
1/30/2012 3:15,45.3,54.628
1/30/2012 3:30,44.7,54.244
1/30/2012 3:45,45,54.113
1/30/2012 4:00,41.7,53.231
1/30/2012 4:15,44.7,53.175
1/30/2012 4:30,41.7,52.959
1/30/2012 4:45,42.9,53.25
1/30/2012 5:00,43.2,53.184
1/30/2012 5:15,41.4,52.969
1/30/2012 5:30,41.7,52.744
1/30/2012 5:45,43.2,52.556
1/30/2012 6:00,46.5,52.613
1/30/2012 6:15,47.1,52.472
1/30/2012 6:30,50.1,52.059
1/30/2012 6:45,48.6,51.947
1/30/2012 7:00,50.7,51.834
1/30/2012 7:15,50.1,51.525
1/30/2012 7:30,48.6,51.563
1/30/2012 7:45,50.7,51.984
1/30/2012 8:00,51.9,52.659
1/30/2012 8:15,52.2,53.184
1/30/2012 8:30,55.5,53.409
1/30/2012 8:45,61.2,53.691
1/30/2012 9:00,77.4,53.916
