buildingID,zip,country,floorarea.SF,buildingtype.STR
cbe_07,94720,us,246101,entertainment-public_assembly-closed_stadium
# On-site building and weather information
time.LOCAL,wbelectricity.kWh,dboat.F
1/29/2012 12:45,153,59.381
1/29/2012 13:00,155.4,60.15
1/29/2012 13:15,159,60.759
1/29/2012 13:30,160.2,60.469
1/29/2012 13:45,160.2,60.525
1/29/2012 14:00,164.4,60.263
1/29/2012 14:15,163.8,60.684
1/29/2012 14:30,168.6,61.331
1/29/2012 14:45,171.6,61.725
1/29/2012 15:00,172.2,61.734
1/29/2012 15:15,172.2,61.838
1/29/2012 15:30,174.6,61.35
1/29/2012 15:45,195.6,60.478
1/29/2012 16:00,207,60.253
1/29/2012 16:15,205.2,60.272
1/29/2012 16:30,205.2,60.066
1/29/2012 16:45,205.2,59.213
1/29/2012 17:00,210,59.025
1/29/2012 17:15,208.8,58.725
1/29/2012 17:30,195,58.303
1/29/2012 17:45,190.8,58.388
1/29/2012 18:00,192,57.619
1/29/2012 18:15,189.6,57.244
1/29/2012 18:30,194.4,57.403
1/29/2012 18:45,191.4,57.394
1/29/2012 19:00,184.8,57.169
1/29/2012 19:15,181.8,57.028
1/29/2012 19:30,178.8,56.925
1/29/2012 19:45,181.2,56.822
1/29/2012 20:00,145.8,56.691
1/29/2012 20:15,119.4,56.541
1/29/2012 20:30,114.6,56.288
1/29/2012 20:45,109.8,56.222
1/29/2012 21:00,99,55.791
1/29/2012 21:15,97.2,55.584
1/29/2012 21:30,96,55.631
1/29/2012 21:45,96.6,55.5
1/29/2012 22:00,94.2,55.359
1/29/2012 22:15,96,55.341
1/29/2012 22:30,95.4,55.322
1/29/2012 22:45,94.2,55.266
1/29/2012 23:00,94.8,55.003
1/29/2012 23:15,94.2,54.834
1/29/2012 23:30,96,54.853
1/29/2012 23:45,94.8,54.759
1/30/2012 0:00,90,54.975
1/30/2012 0:15,90.6,54.938
1/30/2012 0:30,92.4,55.191
1/30/2012 0:45,94.2,55.331
1/30/2012 1:00,90,55.163
1/30/2012 1:15,87.6,54.956
1/30/2012 1:30,85.8,54.928
1/30/2012 1:45,87.6,55.106
1/30/2012 2:00,89.4,54.628
1/30/2012 2:15,84.6,54.516
1/30/2012 2:30,84,54.656
1/30/2012 2:45,83.4,54.684
1/30/2012 3:00,84,54.675
1/30/2012 3:15,85.2,54.628
1/30/2012 3:30,54.6,54.244
1/30/2012 3:45,49.8,54.113
1/30/2012 4:00,49.2,53.231
1/30/2012 4:15,51,53.175
1/30/2012 4:30,51.6,52.959
1/30/2012 4:45,50.4,53.25
1/30/2012 5:00,56.4,53.184
1/30/2012 5:15,62.4,52.969
1/30/2012 5:30,64.8,52.744
1/30/2012 5:45,89.4,52.556
1/30/2012 6:00,110.4,52.613
1/30/2012 6:15,84.6,52.472
1/30/2012 6:30,79.8,52.059
1/30/2012 6:45,91.8,51.947
1/30/2012 7:00,155.4,51.834
1/30/2012 7:15,138.6,51.525
1/30/2012 7:30,140.4,51.563
1/30/2012 7:45,150.6,51.984
1/30/2012 8:00,170.4,52.659
1/30/2012 8:15,171.6,53.184
1/30/2012 8:30,170.4,53.409
1/30/2012 8:45,172.8,53.691
1/30/2012 9:00,174.6,53.916
1/30/2012 9:15,175.2,54.3
1/30/2012 9:30,175.2,54.834
1/30/2012 9:45,178.2,54.834
1/30/2012 10:00,177,54.891
1/30/2012 10:15,178.8,54.947
1/30/2012 10:30,178.8,55.425
1/30/2012 10:45,177,56.053
