buildingID,zip,country ,floorarea.SF,buildingtype.STR
cbe_01,94720,us,88161,technology-science_laboratory
# On-site building and weather information
time.LOCAL,wbelectricity.kWh,dboat.F
1/29/2012 12:45,75.25,59.381
1/29/2012 13:00,106,60.15
1/29/2012 13:15,111,60.759
1/29/2012 13:30,82.25,60.469
1/29/2012 13:45,82,60.525
1/29/2012 14:00,81.75,60.263
1/29/2012 14:15,106.5,60.684
1/29/2012 14:30,107.75,61.331
1/29/2012 14:45,106.25,61.725
1/29/2012 15:00,81.75,61.734
1/29/2012 15:15,81.75,61.838
1/29/2012 15:30,103.5,61.35
1/29/2012 15:45,102.5,60.478
1/29/2012 16:00,102.5,60.253
1/29/2012 16:15,84.25,60.272
1/29/2012 16:30,84.5,60.066
1/29/2012 16:45,83,59.213
1/29/2012 17:00,80.5,59.025
1/29/2012 17:15,109.75,58.725
1/29/2012 17:30,107.25,58.303
1/29/2012 17:45,77.25,58.388
1/29/2012 18:00,74.75,57.619
1/29/2012 18:15,71.75,57.244
1/29/2012 18:30,76.25,57.403
1/29/2012 18:45,76.25,57.394
1/29/2012 19:00,76.25,57.169
1/29/2012 19:15,76,57.028
1/29/2012 19:30,74.75,56.925
1/29/2012 19:45,73,56.822
1/29/2012 20:00,77,56.691
1/29/2012 20:15,73.5,56.541
1/29/2012 20:30,75.25,56.288
1/29/2012 20:45,77.75,56.222
1/29/2012 21:00,74.25,55.791
1/29/2012 21:15,74.75,55.584
1/29/2012 21:30,72.75,55.631
1/29/2012 21:45,74.75,55.5
1/29/2012 22:00,73,55.359
1/29/2012 22:15,73.25,55.341
1/29/2012 22:30,74,55.322
1/29/2012 22:45,72.25,55.266
1/29/2012 23:00,74.75,55.003
1/29/2012 23:15,72.5,54.834
1/29/2012 23:30,71,54.853
1/29/2012 23:45,69.25,54.759
1/30/2012 0:00,74,54.975
1/30/2012 0:15,74.25,54.938
1/30/2012 0:30,74,55.191
1/30/2012 0:45,73.5,55.331
1/30/2012 1:00,74.5,55.163
1/30/2012 1:15,72.25,54.956
1/30/2012 1:30,72,54.928
1/30/2012 1:45,73,55.106
1/30/2012 2:00,70.5,54.628
1/30/2012 2:15,72.25,54.516
1/30/2012 2:30,73.25,54.656
1/30/2012 2:45,73.5,54.684
1/30/2012 3:00,74.5,54.675
1/30/2012 3:15,72.25,54.628
1/30/2012 3:30,73,54.244
1/30/2012 3:45,70.5,54.113
1/30/2012 4:00,70.75,53.231
1/30/2012 4:15,71.5,53.175
1/30/2012 4:30,73.25,52.959
1/30/2012 4:45,74,53.25
1/30/2012 5:00,73.75,53.184
1/30/2012 5:15,73.5,52.969
1/30/2012 5:30,76,52.744
1/30/2012 5:45,75.5,52.556
1/30/2012 6:00,75.75,52.613
1/30/2012 6:15,72.5,52.472
1/30/2012 6:30,74.5,52.059
1/30/2012 6:45,77.5,51.947
1/30/2012 7:00,77.75,51.834
1/30/2012 7:15,74,51.525
1/30/2012 7:30,72.75,51.563
1/30/2012 7:45,79,51.984
1/30/2012 8:00,80.5,52.659
1/30/2012 8:15,79.25,53.184
1/30/2012 8:30,79,53.409
1/30/2012 8:45,81.75,53.691
1/30/2012 9:00,91.5,53.916
1/30/2012 9:15,81.25,54.3
1/30/2012 9:30,83.25,54.834
1/30/2012 9:45,82.25,54.834
1/30/2012 10:00,85,54.891
1/30/2012 10:15,86.75,54.947
1/30/2012 10:30,86.75,55.425
1/30/2012 10:45,88.25,56.053
1/30/2012 11:00,91.75,56.016
1/30/2012 11:15,91,56.175
1/30/2012 11:30,91.5,56.016
1/30/2012 11:45,86.75,55.613
1/30/2012 12:00,87.25,55.622
1/30/2012 12:15,89.5,56.306
1/30/2012 12:30,88.5,56.484
1/30/2012 12:45,89.75,56.55
1/30/2012 13:00,88.5,56.813
1/30/2012 13:15,90.5,56.813
1/30/2012 13:30,89.5,56.784
1/30/2012 13:45,91.25,56.597
1/30/2012 14:00,91.75,57.469
1/30/2012 14:15,92.5,57.075
1/30/2012 14:30,90.5,56.438
1/30/2012 14:45,87.25,55.725
1/30/2012 15:00,89.5,54.947
1/30/2012 15:15,92,54.356
1/30/2012 15:30,90.5,54.422
1/30/2012 15:45,91.75,55.041
1/30/2012 16:00,95.25,55.013
1/30/2012 16:15,90.25,54.956
1/30/2012 16:30,86.75,54.994
1/30/2012 16:45,90.75,54.947
1/30/2012 17:00,85.5,54.966
1/30/2012 17:15,90,54.984
1/30/2012 17:30,85.25,55.125
1/30/2012 17:45,87.5,54.609
1/30/2012 18:00,83.75,54.253
1/30/2012 18:15,85.5,54.225
1/30/2012 18:30,89.25,53.7
1/30/2012 18:45,84,53.391
1/30/2012 19:00,82.25,53.203
1/30/2012 19:15,81.75,53.147
1/30/2012 19:30,81,53.034
1/30/2012 19:45,79,53.1
1/30/2012 20:00,76.5,53.016
1/30/2012 20:15,79.75,52.875
1/30/2012 20:30,78.25,52.8
1/30/2012 20:45,79.5,52.978
1/30/2012 21:00,78.25,52.95
1/30/2012 21:15,81.75,52.856
1/30/2012 21:30,75.75,52.941
1/30/2012 21:45,77.75,52.941
1/30/2012 22:00,76,52.847
1/30/2012 22:15,75.5,52.941
1/30/2012 22:30,77,52.931
1/30/2012 22:45,76.25,52.809
