buildingID,zip,country,floorarea.SF,buildingtype.STR
cbe_01,94709,us,49490,public_services-library

LocalDateTime,EnergyConsumption,OutsideDryBulbTemperature
1/29/2012 12:45,54,59.381 
1/29/2012 13:00,69,60.15 
1/29/2012 13:15,68,60.759 
1/29/2012 13:30,68,60.469 
1/29/2012 13:45,69,60.525 
1/29/2012 14:00,68,60.263 
1/29/2012 14:15,68,60.684 
1/29/2012 14:30,70,61.331 
1/29/2012 14:45,69,61.725 
1/29/2012 15:00,70,61.734 
1/29/2012 15:15,69,61.838 
1/29/2012 15:30,69,61.35 
1/29/2012 15:45,71,60.478 
1/29/2012 16:00,70,60.253 
1/29/2012 16:15,70,60.272 
1/29/2012 16:30,72,60.066 
1/29/2012 16:45,71,59.213 
1/29/2012 17:00,59,59.025 
1/29/2012 17:15,58,58.725 
1/29/2012 17:30,57,58.303 
1/29/2012 17:45,58,58.388 
1/29/2012 18:00,58,57.619 
1/29/2012 18:15,57,57.244 
1/29/2012 18:30,59,57.403 
1/29/2012 18:45,57,57.394 
1/29/2012 19:00,56,57.169 
1/29/2012 19:15,59,57.028 
1/29/2012 19:30,56,56.925 
1/29/2012 19:45,58,56.822 
1/29/2012 20:00,55,56.691 
1/29/2012 20:15,56,56.541 
1/29/2012 20:30,58,56.288 
1/29/2012 20:45,42,56.222 
1/29/2012 21:00,45,55.791 
1/29/2012 21:15,45,55.584 
1/29/2012 21:30,41,55.631 
1/29/2012 21:45,42,55.5 
1/29/2012 22:00,37,55.359 
1/29/2012 22:15,34,55.341 
1/29/2012 22:30,36,55.322 
1/29/2012 22:45,34,55.266 
1/29/2012 23:00,35,55.003 
1/29/2012 23:15,33,54.834 
1/29/2012 23:30,35,54.853 
1/29/2012 23:45,35,54.759 
1/30/2012 0:00,34,54.975 
1/30/2012 0:15,37,54.938 
1/30/2012 0:30,34,55.191 
1/30/2012 0:45,35,55.331 
1/30/2012 1:00,36,55.163 
1/30/2012 1:15,34,54.956 
1/30/2012 1:30,36,54.928 
1/30/2012 1:45,34,55.106 
1/30/2012 2:00,34,54.628 
1/30/2012 2:15,36,54.516 
1/30/2012 2:30,34,54.656 
1/30/2012 2:45,36,54.684 
1/30/2012 3:00,33,54.675 
1/30/2012 3:15,34,54.628 
1/30/2012 3:30,35,54.244 
1/30/2012 3:45,36,54.113 
1/30/2012 4:00,36,53.231 
1/30/2012 4:15,34,53.175 
1/30/2012 4:30,35,52.959 
