LocalDateTime,EnergyConsumption,OutsideDryBulbTemperature
11/1/2012 0:00,30,59.466
11/1/2012 0:15,28,59.344
11/1/2012 0:30,29,59.4
11/1/2012 0:45,30,59.391
11/1/2012 1:00,29,59.503
11/1/2012 1:15,29,59.409
11/1/2012 1:30,29,59.419
11/1/2012 1:45,31,59.419
11/1/2012 2:00,31,59.241
11/1/2012 2:15,29,59.288
11/1/2012 2:30,29,59.316
11/1/2012 2:45,30,59.353
11/1/2012 3:00,29,59.428
11/1/2012 3:15,29,59.381
11/1/2012 3:30,30,59.494
11/1/2012 3:45,29,59.428
11/1/2012 4:00,30,59.419
11/1/2012 4:15,29,59.419
11/1/2012 4:30,28,59.438
11/1/2012 4:45,28,59.409
11/1/2012 5:00,30,59.466
11/1/2012 5:15,29,59.475
11/1/2012 5:30,32,59.419
11/1/2012 5:45,41,59.55
11/1/2012 6:00,56,59.559
11/1/2012 6:15,59,59.456
11/1/2012 6:30,60,59.513
11/1/2012 6:45,60,59.531
11/1/2012 7:00,67,59.494
11/1/2012 7:15,69,59.625
11/1/2012 7:30,68,59.681
11/1/2012 7:45,69,59.634
11/1/2012 8:00,79,59.709
11/1/2012 8:15,75,59.85
11/1/2012 8:30,79,60.009
11/1/2012 8:45,77,59.972
11/1/2012 9:00,75,59.822
11/1/2012 9:15,79,59.953
11/1/2012 9:30,80,59.925
11/1/2012 9:45,78,60.131
11/1/2012 10:00,82,60.459
11/1/2012 10:15,77,60.413
11/1/2012 10:30,83,60.863
11/1/2012 10:45,81,61.388
11/1/2012 11:00,86,61.566
11/1/2012 11:15,82,61.416
11/1/2012 11:30,80,61.341
11/1/2012 11:45,78,61.303
11/1/2012 12:00,81,61.669
11/1/2012 12:15,87,62.203
11/1/2012 12:30,89,62.175
11/1/2012 12:45,88,62.278
11/1/2012 13:00,87,62.672
11/1/2012 13:15,90,62.916
11/1/2012 13:30,81,63.488
11/1/2012 13:45,84,62.794
11/1/2012 14:00,86,62.981
